label,color,source,target,value,link_label,link_color
Agri Waste,red,0,1,124.729,stream 1,red
Bio-Conversion,green,1,2,0.597,,green
Liquid,blue,1,3,26.862,,blue
Losses,cyan,1,4,280.322,,cyan
Solid,magenta,1,5,81.144,stream 1,magenta
Gas,black,6,2,35,,black
Biofuel imports,yellow,7,4,35,,yellow
Biomass imports,orange,8,9,11.606,,orange
Coal imports,red,10,9,63.965,,red
Coal,green,9,4,75.571,,green
Coal reserves,blue,11,12,10.639,,blue
District Heating,cyan,11,13,22.505,,cyan
Industry,magenta,11,14,46.184,,magenta
Heating & Cooling - commercial,black,15,16,104.453,,black
Heating & Cooling - Homes,yellow,15,14,113.726,,yellow
Electricity Grid,orange,15,17,27.14,,orange
Over generation / Exports,red,15,12,342.165,,red
H2 Conversion,green,15,18,37.797,,green
Road Transport,blue,15,19,4.414,,blue
Agriculture,cyan,15,13,40.858,,cyan
Rail Transport,magenta,15,3,56.691,,magenta
Lighting & appliances - commercial,black,15,20,7.863,,black
Lighting & appliances - homes,yellow,15,21,90.008,,yellow
Gas imports,orange,15,22,93.494,,orange
Ngas,red,23,24,40.719,,red
Gas reserves,green,25,24,82.233,,green
Thermal generation,blue,5,13,0.129,,blue
Geothermal,cyan,5,3,1.401,,cyan
H2,magenta,5,26,151.891,,magenta
Hydro,black,5,19,2.096,,black
International shipping,yellow,5,12,48.58,stream 1,yellow
Domestic Aviation,orange,27,15,7.013,,orange
International aviation,red,17,28,20.897,,red
National navigation,green,17,3,6.995,,green
Marine algae,blue,28,18,121.066,,blue
Nuclear,cyan,29,15,128.69,,cyan
Oil imports,magenta,2,12,135.835,,magenta
Oil,black,2,30,14.458,,black
Oil reserves,yellow,2,18,206.267,,yellow
Other waste,orange,2,31,3.64,,orange
Pumped heat,red,2,32,33.218,,red
Solar PV,green,2,19,4.413,,green
Solar Thermal,blue,2,33,14.375,,blue
Solar,cyan,2,20,122.952,,cyan
Tidal,magenta,34,1,500,,magenta
UK land based bioenergy,black,24,5,139.978,,black
Wave,yellow,35,26,504.287,Old generation plant,yellow
wind,orange,35,26,107.703,New generation plant,orange
,,36,37,611.99,,
,,38,37,56.587,,
,,37,2,77.81,,
,,39,4,193.026,,
,,39,1,70.672,,
,,40,14,59.901,,
,,40,13,19.263,,
,,41,15,19.263,,
,,42,14,59.901,,
,,43,42,0.882,,
,,43,41,400.12,,
,,4,19,46.477,,
,,4,26,525.531,,
,,4,12,787.129,,
,,26,15,79.329,,
,,26,3,9.452,,
,,26,11,182.01,,
,,44,15,19.013,,
,,45,1,289.366,,
,,46,15,100,,
,,47,15,100,,
,,35,26,100,,
,,35,26,100,,
